10248,VINET,1996-07-04 00:00:00.000,11,Queso Cabrales,12,14.00,168.00
10248,VINET,1996-07-04 00:00:00.000,42,Singaporean Hokkien Fried Mee,10,9.80,98.00
10248,VINET,1996-07-04 00:00:00.000,72,Mozzarella di Giovanni,5,34.80,174.00
10249,TOMSP,1996-07-05 00:00:00.000,14,Tofu,9,18.60,167.40
10249,TOMSP,1996-07-05 00:00:00.000,51,Manjimup Dried Apples,40,42.40,1696.00
10250,HANAR,1996-07-08 00:00:00.000,41,Jack's New England Clam Chowder,10,7.70,77.00
10250,HANAR,1996-07-08 00:00:00.000,51,Manjimup Dried Apples,35,42.40,1484.00
10250,HANAR,1996-07-08 00:00:00.000,65,Louisiana Fiery Hot Pepper Sauce,15,16.80,252.00
10251,VICTE,1996-07-08 00:00:00.000,22,Gustaf's Knäckebröd,6,16.80,100.80
10251,VICTE,1996-07-08 00:00:00.000,57,Ravioli Angelo,15,15.60,234.00
10251,VICTE,1996-07-08 00:00:00.000,65,Louisiana Fiery Hot Pepper Sauce,20,16.80,336.00
10252,SUPRD,1996-07-09 00:00:00.000,20,Sir Rodney's Marmalade,40,64.80,2592.00
10252,SUPRD,1996-07-09 00:00:00.000,33,Geitost,25,2.00,50.00
10252,SUPRD,1996-07-09 00:00:00.000,60,Camembert Pierrot,40,27.20,1088.00
10253,HANAR,1996-07-10 00:00:00.000,31,Gorgonzola Telino,20,10.00,200.00
10253,HANAR,1996-07-10 00:00:00.000,39,Chartreuse verte,42,14.40,604.80
10253,HANAR,1996-07-10 00:00:00.000,49,Maxilaku,40,16.00,640.00
10254,CHOPS,1996-07-11 00:00:00.000,24,Guaraná Fantástica,15,3.60,54.00
10254,CHOPS,1996-07-11 00:00:00.000,55,Pâté chinois,21,19.20,403.20
10254,CHOPS,1996-07-11 00:00:00.000,74,Longlife Tofu,21,8.00,168.00
10255,RICSU,1996-07-12 00:00:00.000,2,Chang,20,15.20,304.00
10255,RICSU,1996-07-12 00:00:00.000,16,Pavlova,35,13.90,486.50
10255,RICSU,1996-07-12 00:00:00.000,36,Inlagd Sill,25,15.20,380.00
10255,RICSU,1996-07-12 00:00:00.000,59,Raclette Courdavault,30,44.00,1320.00
10256,WELLI,1996-07-15 00:00:00.000,53,Perth Pasties,15,26.20,393.00
10256,WELLI,1996-07-15 00:00:00.000,77,Original Frankfurter grüne Soße,12,10.40,124.80
10257,HILAA,1996-07-16 00:00:00.000,27,Schoggi Schokolade,25,35.10,877.50
10257,HILAA,1996-07-16 00:00:00.000,39,Chartreuse verte,6,14.40,86.40
10257,HILAA,1996-07-16 00:00:00.000,77,Original Frankfurter grüne Soße,15,10.40,156.00
10258,ERNSH,1996-07-17 00:00:00.000,2,Chang,50,15.20,760.00
10258,ERNSH,1996-07-17 00:00:00.000,5,Chef Anton's Gumbo Mix,65,17.00,1105.00
10258,ERNSH,1996-07-17 00:00:00.000,32,Mascarpone Fabioli,6,25.60,153.60
10259,CENTC,1996-07-18 00:00:00.000,21,Sir Rodney's Scones,10,8.00,80.00
10259,CENTC,1996-07-18 00:00:00.000,37,Gravad lax,1,20.80,20.80
10260,OTTIK,1996-07-19 00:00:00.000,41,Jack's New England Clam Chowder,16,7.70,123.20
10260,OTTIK,1996-07-19 00:00:00.000,57,Ravioli Angelo,50,15.60,780.00
10260,OTTIK,1996-07-19 00:00:00.000,62,Tarte au sucre,15,39.40,591.00
10260,OTTIK,1996-07-19 00:00:00.000,70,Outback Lager,21,12.00,252.00
10261,QUEDE,1996-07-19 00:00:00.000,21,Sir Rodney's Scones,20,8.00,160.00
10261,QUEDE,1996-07-19 00:00:00.000,35,Steeleye Stout,20,14.40,288.00
10262,RATTC,1996-07-22 00:00:00.000,5,Chef Anton's Gumbo Mix,12,17.00,204.00
10262,RATTC,1996-07-22 00:00:00.000,7,Uncle Bob's Organic Dried Pears,15,24.00,360.00
10262,RATTC,1996-07-22 00:00:00.000,56,Gnocchi di nonna Alice,2,30.40,60.80
10263,ERNSH,1996-07-23 00:00:00.000,16,Pavlova,60,13.90,834.00
10263,ERNSH,1996-07-23 00:00:00.000,24,Guaraná Fantástica,28,3.60,100.80
10263,ERNSH,1996-07-23 00:00:00.000,30,Nord-Ost Matjeshering,60,20.70,1242.00
10263,ERNSH,1996-07-23 00:00:00.000,74,Longlife Tofu,36,8.00,288.00
10264,FOLKO,1996-07-24 00:00:00.000,2,Chang,35,15.20,532.00
10264,FOLKO,1996-07-24 00:00:00.000,41,Jack's New England Clam Chowder,25,7.70,192.50
10265,BLONP,1996-07-25 00:00:00.000,17,Alice Mutton,30,31.20,936.00
10265,BLONP,1996-07-25 00:00:00.000,70,Outback Lager,20,12.00,240.00
10266,WARTH,1996-07-26 00:00:00.000,12,Queso Manchego La Pastora,12,30.40,364.80
